IdVisita,codeSowing,Berberis_vivos,Berberis_muertos,Juniperus_vivos,Juniperus_muertos,Humedad,observaciones
2020_1,E29,0,0,0,0,8,NA
2020_1,E210,4,0,0,0,10,NA
2020_1,P21,0,0,0,0,4,NA
2020_1,P22,0,0,0,0,3,NA
2020_1,P23,0,0,0,0,3,NA
2020_1,P24,0,0,0,0,6,NA
2020_1,P25,0,0,0,0,7,NA
2020_1,P26,NA,NA,NA,NA,NA,No se encuentra
2020_1,P27,0,0,0,0,0,NA
2020_1,P28,NA,NA,NA,NA,NA,No se encuentra
2020_1,P29,0,0,0,0,3,NA
2020_1,P210,NA,NA,NA,NA,NA,No se encuentra
2020_1,B21,0,0,1,0,20.8,Juniperus de hace dos años
2020_1,B22,0,0,0,0,13.9,NA
2020_1,B23,0,0,0,0,30,NA
2020_1,B24,0,0,0,0,11.9,NA
2020_1,B25,0,0,0,0,20.9,NA
2020_1,B26,0,0,0,0,21.1,NA
2020_1,B27,0,0,0,0,10.8,NA
2020_1,B28,0,0,0,0,15.7,NA
2020_1,B29,0,0,0,0,25.1,NA
2020_1,B210,0,0,0,0,15.7,NA
2020_1,R31,0,0,0,0,6,NA
2020_1,R32,0,0,0,0,7,NA
2020_1,R33,0,0,0,0,7,NA
2020_1,R34,0,0,0,0,1.7,NA
2020_1,R35,0,0,0,0,3.3,NA
2020_1,R36,0,0,0,0,4.3,NA
2020_1,R37,0,0,0,0,7,NA
2020_1,R38,0,0,0,0,10,NA
2020_1,R39,0,0,0,0,12,NA
2020_1,R310,0,0,0,0,10,NA
2020_1,G31,0,0,0,0,6.1,NA
2020_1,G32,1,0,0,0,1.9,NA
2020_1,G33,0,0,0,0,2.5,NA
2020_1,G34,1,0,0,0,3.7,NA
2020_1,G35,0,0,0,0,1.5,NA
2020_1,G36,0,0,0,0,2,NA
2020_1,G37,1,0,0,0,3.9,NA
2020_1,G38,0,0,0,0,0,NA
2020_1,G39,0,0,0,0,6,NA
2020_1,G310,0,0,0,0,1,NA
2020_1,E31,0,0,0,0,3.1,NA
2020_1,E32,4,0,0,0,8,NA
2020_1,E33,0,0,0,0,10,NA
2020_1,E34,2,0,0,0,3.5,NA
2020_1,E35,2,0,0,0,7,NA
2020_1,E36,0,0,0,0,5.4,NA
